N,Torch-Ops,Torch-Softmax,Triton
29056.000000,162.125890,330.475208,330.769123
29184.000000,172.782240,353.477656,353.210273
29312.000000,172.613915,353.422764,353.289647
29440.000000,172.763621,353.103440,353.235839
29568.000000,172.644104,353.182543,353.182543
29696.000000,162.134785,330.989902,330.070159
29824.000000,172.861441,353.077309,353.077309
29952.000000,172.680659,353.285670,353.143288
30080.000000,172.795981,352.973959,352.844568
30208.000000,172.786841,352.794172,352.794172
30336.000000,172.654866,330.187751,330.412523
30464.000000,162.366420,352.503332,352.694634
30592.000000,172.897215,352.391653,352.772620
30720.000000,172.948629,352.217835,352.286868
30848.000000,172.651687,352.171255,352.106471
30976.000000,172.748695,352.367569,327.571713
31104.000000,162.171567,329.415196,329.360693
31232.000000,172.821026,351.909863,351.729899
31360.000000,172.812117,351.865350,352.112275
31488.000000,172.803295,351.821239,351.821239
31616.000000,172.735526,351.899825,351.777467
31744.000000,162.295576,329.059930,328.846875
31872.000000,172.762601,351.448659,351.448659
32000.000000,172.739542,351.406992,351.527627
32128.000000,172.876412,351.005810,351.125690
32256.000000,172.896488,351.085710,351.205169
32384.000000,162.211471,328.667298,328.771572
32512.000000,172.864333,350.415625,350.770061
32640.000000,172.812709,350.732024,350.849839
32768.000000,172.889699,351.517277,351.164109
32896.000000,172.767436,351.828881,351.828881
33024.000000,162.305017,328.494866,328.494866
33152.000000,172.736951,351.860200,351.745368
33280.000000,172.742899,351.355985,351.587981
33408.000000,172.874513,351.778864,351.663147
33536.000000,172.838138,351.622548,351.622548
33664.000000,162.211714,328.329161,328.329161
33792.000000,172.793860,351.542273,351.542273
33920.000000,172.758240,351.502591,351.502591
34048.000000,172.928501,351.463216,351.360508
34176.000000,172.783319,351.311280,326.213878
34304.000000,162.385804,328.022700,327.728925
34432.000000,172.862250,351.123018,351.123018
34560.000000,172.935105,351.085714,351.085714
34688.000000,172.886221,351.159750,351.048693
34816.000000,172.891367,327.102751,327.969383
34944.000000,162.412200,350.865385,350.865385
35072.000000,172.834990,350.720009,350.720009
35200.000000,172.853528,350.575784,350.684930
35328.000000,172.885145,350.650113,350.432747
35456.000000,162.270019,328.011561,327.916760
35584.000000,172.895236,350.365531,350.473370
35712.000000,172.678148,350.325606,350.332319
35840.000000,172.931237,350.192364,350.138907
35968.000000,172.819220,325.732569,327.214214
36096.000000,162.434540,327.308577,350.127920
36224.000000,172.881132,350.148914,349.884688
36352.000000,172.873241,349.906459,350.169786
36480.000000,172.890990,349.823191,349.770783
36608.000000,162.375214,327.680002,327.496785
36736.000000,172.977044,349.866669,349.450654
36864.000000,172.918211,350.876860,350.616138
36992.000000,172.859813,350.738954,350.842908
37120.000000,172.776728,327.003445,326.958440
37248.000000,162.355924,350.569407,350.775747
37376.000000,172.936957,350.536938,350.639706
37504.000000,172.929101,350.709529,350.607071
37632.000000,172.921311,350.574664,324.370103
37760.000000,162.452276,327.369283,327.147696
37888.000000,172.882757,350.510549,350.510549
38016.000000,172.971995,350.377891,350.377891
38144.000000,173.013184,350.447318,350.541659
38272.000000,162.362982,327.023755,327.023755
38400.000000,172.997329,350.285069,350.285069
38528.000000,172.940945,350.155066,350.254543
38656.000000,173.005875,350.224247,350.125117
38784.000000,162.477972,327.032409,326.860149
38912.000000,173.086465,350.164223,350.071931
39040.000000,172.803099,350.134536,350.134536
39168.000000,172.998758,350.007258,350.153931
39296.000000,162.516577,326.785866,327.125916
39424.000000,172.983411,350.046618,349.949517
39552.000000,172.845886,349.920922,350.017693
39680.000000,173.015403,349.988983,349.988983
39808.000000,162.419485,326.923128,326.965084
39936.000000,172.929907,349.932082,349.788422
40064.000000,172.806035,349.808461,349.808461
40192.000000,173.019979,349.875947,349.875947
40320.000000,162.365820,326.436437,326.808528
40448.000000,172.981756,349.631549,349.903286
40576.000000,172.870725,349.698886,349.510622
40704.000000,173.058927,349.765848,349.671950
40832.000000,162.495212,326.696831,326.819414
40960.000000,173.146634,350.366205,350.085460
41088.000000,172.864210,349.685107,349.592130
41216.000000,173.006101,349.936848,350.215610
41344.000000,162.491770,326.467118,326.265852
41472.000000,173.071123,350.067001,350.067001
41600.000000,172.827002,350.039435,350.223619
41728.000000,172.909809,350.103834,350.103834
41856.000000,162.508131,326.481907,326.601333
41984.000000,173.040701,350.231482,350.148766
42112.000000,172.944554,350.021820,350.203745
42240.000000,172.959700,350.130807,350.176161
42368.000000,162.465659,326.653652,326.496322
42496.000000,173.143882,350.031402,350.031402
42624.000000,172.982631,350.049523,350.184331
42752.000000,173.041232,350.157138,325.497018
42880.000000,162.520435,326.471560,326.860423
43008.000000,173.113952,349.925256,350.014230
43136.000000,172.781583,350.076592,349.987809
43264.000000,173.055992,326.289893,326.829074
43392.000000,162.631056,326.947023,349.935489
43520.000000,173.020250,349.821669,349.909544
43648.000000,172.948984,349.971445,349.842682
43776.000000,162.594388,326.839008,326.306090
43904.000000,173.020682,349.876233,349.919795
44032.000000,173.013761,349.766656,349.807354
44160.000000,173.049223,349.695637,326.129690
44288.000000,162.394406,326.397052,349.757147
44416.000000,173.077445,349.732265,349.560236
44544.000000,173.028408,349.621774,349.707570
44672.000000,162.646943,326.967961,326.743770
44800.000000,173.098281,349.402892,349.658535
44928.000000,172.924696,349.634232,349.549244
